PLAYER,GP,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,Date
Wayne Ellington,69.0,2.1,7.0,1.5,1.1,0.7,0.2,0.5,2.2,5.4,0.4,0.6,2022-01-13
Omer Yurtseven,54.0,0.1,8.0,8.8,0.6,0.3,0.6,1.5,3.5,7.6,0.9,1.4,2022-01-13
Stanley Johnson,11.0,1.0,6.6,1.8,1.0,0.7,0.0,0.0,2.0,4.0,1.6,2.0,2022-01-13
Aleksej Pokusevski,70.0,1.0,6.5,3.8,1.4,0.5,0.6,1.4,2.4,6.3,0.6,0.8,2022-01-13
Tony Bradley,70.0,0.0,5.2,4.2,0.7,0.3,0.5,0.6,2.3,3.4,0.7,0.9,2022-01-13
Amir Coffey,54.0,1.2,7.4,3.1,1.5,0.6,0.2,0.6,2.5,5.5,1.3,1.8,2022-01-13
Gorgui Dieng,54.0,0.6,4.5,5.9,0.9,0.3,0.3,0.6,1.5,3.0,1.0,1.3,2022-01-13
Bryn Forbes,68.0,1.8,9.4,1.3,1.1,0.3,0.0,0.6,3.4,7.5,0.8,0.9,2022-01-13
Georges Niang,61.0,1.7,9.2,2.1,1.2,0.3,0.3,0.5,3.7,8.4,0.2,0.2,2022-01-13
Damion Lee,50.0,1.1,8.3,3.5,1.0,0.4,0.1,0.6,3.2,7.3,0.8,1.0,2022-01-13
David Duke Jr.,34.0,0.3,6.3,5.5,1.5,1.0,0.5,0.5,2.5,8.0,1.0,1.3,2022-01-13
Serge Ibaka,64.0,0.6,6.8,4.3,1.2,0.1,0.5,0.9,2.7,5.7,0.7,0.8,2022-01-13
D.J. Augustin,60.0,1.2,6.4,1.4,2.7,0.4,0.0,0.9,2.0,4.7,1.2,1.4,2022-01-13
Derrick Jones Jr.,70.0,0.6,7.3,2.8,0.6,0.5,0.7,0.5,3.0,6.1,0.8,1.3,2022-01-13
Wesley Matthews,34.0,1.2,5.9,1.7,0.4,0.6,0.4,0.6,2.3,5.0,0.1,0.2,2022-01-13
Moritz Wagner,30.0,1.0,5.8,2.6,0.9,0.5,0.3,0.8,1.9,4.1,1.1,1.4,2022-01-13
Miles McBride,32.0,1.0,6.6,1.5,2.3,0.7,0.1,1.0,2.6,6.0,0.6,0.7,2022-01-13
Jeff Teague,70.0,0.7,6.4,1.5,2.3,0.6,0.2,1.1,2.1,5.0,1.5,1.8,2022-01-13
B.J. Johnson,31.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,2022-01-13
Raul Neto,63.0,0.5,7.7,2.2,2.5,0.7,0.1,1.1,3.2,7.0,0.8,1.1,2022-01-13
Furkan Korkmaz,71.0,1.2,8.4,2.9,2.2,0.6,0.2,0.9,3.1,8.2,1.2,1.5,2022-01-13
Tristan Thompson,71.0,0.0,7.6,6.3,0.9,0.4,0.4,1.1,3.3,6.3,1.0,1.6,2022-01-13
Malik Newman,11.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,2.0,2.0,2022-01-13
Derrick Favors,60.0,0.0,5.9,5.0,0.7,0.6,0.4,0.6,2.5,5.0,1.0,1.4,2022-01-13
D.J. Wilson,11.0,0.0,5.6,4.0,2.0,0.5,0.4,1.0,2.0,4.0,1.5,2.0,2022-01-13
Markieff Morris,64.0,1.0,6.9,3.6,1.2,0.4,0.3,0.9,2.7,6.1,0.6,0.8,2022-01-13
Josh Jackson,60.0,0.9,6.9,3.0,1.3,0.6,0.6,1.7,2.5,6.0,1.2,1.6,2022-01-13
Garrett Temple,60.0,0.9,5.5,2.1,1.6,0.6,0.4,0.7,2.1,5.0,0.5,0.7,2022-01-13
Svi Mykhailiuk,46.0,1.0,6.3,3.6,1.0,0.6,0.1,1.0,2.1,5.3,1.0,1.2,2022-01-13
Payton Pritchard,72.0,1.3,5.8,1.9,1.9,0.5,0.1,0.6,2.0,4.7,0.5,0.6,2022-01-13
Juwan Morgan,11.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2022-01-13
Ben McLemore,58.0,1.9,7.3,1.6,0.6,0.3,0.2,0.7,2.4,5.4,0.7,0.8,2022-01-13
Trey Murphy III,70.0,1.2,5.8,1.9,0.8,0.5,0.3,0.6,2.1,4.7,0.5,0.6,2022-01-13
Trey Burke,48.0,0.9,7.7,0.9,1.3,0.5,0.1,0.5,3.0,6.7,0.9,1.0,2022-01-13
JJ Redick,60.0,1.6,7.7,1.6,1.2,0.3,0.1,0.8,2.5,6.3,1.1,1.2,2022-01-13
John Konchar,44.0,0.5,5.2,3.5,1.5,0.5,0.1,1.0,2.1,4.1,0.4,0.6,2022-01-13
Reggie Bullock,74.0,1.4,6.9,2.7,1.2,0.4,0.2,0.6,2.5,6.4,0.6,0.7,2022-01-13
Kessler Edwards,32.0,1.1,6.3,2.5,0.9,0.3,0.4,0.9,2.5,5.7,0.1,0.1,2022-01-13
Kent Bazemore,67.0,0.8,4.9,2.3,0.8,0.8,0.3,0.8,1.7,4.1,0.8,1.0,2022-01-13
Tomas Satoransky,67.0,0.4,4.8,1.5,3.0,0.4,0.1,1.1,1.8,3.8,0.8,0.9,2022-01-13
Aaron Holiday,30.0,0.6,6.3,1.5,2.0,0.5,0.3,1.3,2.6,5.4,0.6,0.8,2022-01-13
Cassius Stanley,11.0,1.0,5.5,2.0,2.0,0.6,0.2,0.0,1.5,4.0,1.5,2.0,2022-01-13
Tremont Waters,11.0,1.2,5.2,1.7,3.4,0.7,0.0,2.3,1.7,5.0,0.6,0.7,2022-01-13
Josh Okogie,68.0,0.3,4.0,2.7,1.1,0.9,0.5,0.7,1.7,4.3,0.4,0.6,2022-01-13
Brandon Knight,12.0,1.0,6.0,2.0,1.5,0.0,0.0,1.0,1.5,4.0,2.0,2.0,2022-01-13
Nemanja Bjelica,62.0,0.9,6.1,3.0,1.7,0.4,0.2,0.8,2.2,4.9,0.8,1.1,2022-01-13
Justin Anderson,12.0,1.0,5.5,2.5,2.0,0.5,0.0,1.0,2.0,3.0,0.5,1.0,2022-01-13
Javonte Green,45.0,0.6,5.0,4.2,0.8,0.2,0.4,0.2,1.8,3.7,0.8,1.1,2022-01-13
Ish Smith,68.0,0.5,6.1,1.9,2.9,0.5,0.2,0.8,2.5,6.0,0.5,0.8,2022-01-13
Taurean Prince,70.0,0.7,6.2,2.7,1.5,0.5,0.5,0.8,2.3,6.1,0.8,1.1,2022-01-13
Bismack Biyombo,68.0,0.0,4.7,5.0,1.1,0.3,1.0,1.0,2.1,3.5,0.7,1.5,2022-01-13
Cheick Diallo,12.0,0.0,5.5,4.5,0.0,0.5,0.0,0.5,1.5,3.0,2.5,3.0,2022-01-13
PJ Dozier,18.0,0.7,5.8,2.8,1.4,0.5,0.3,0.7,2.2,5.6,0.6,0.8,2022-01-13
James Ennis III,31.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,2022-01-13
Cameron Thomas,60.0,1.0,8.1,2.6,1.3,0.3,0.1,1.1,3.2,7.4,0.7,0.8,2022-01-13
Naji Marshall,50.0,0.6,4.9,3.2,1.9,0.6,0.2,0.8,1.5,3.8,1.2,1.6,2022-01-13
Sterling Brown,50.0,0.8,5.3,3.3,1.0,0.6,0.1,0.8,2.0,4.7,0.6,0.8,2022-01-13
R.J. Hampton,64.0,0.8,7.7,3.9,2.2,0.4,0.2,1.4,2.9,6.9,1.2,1.8,2022-01-13
Drew Eubanks,60.0,0.0,4.3,3.5,0.6,0.2,0.7,0.9,1.8,3.4,0.8,1.1,2022-01-13
Moses Moody,65.0,0.9,6.6,2.0,0.9,0.5,0.3,0.8,2.4,5.8,0.8,1.0,2022-01-13
Lou Williams,50.0,0.6,6.3,1.2,1.9,0.4,0.1,0.9,2.2,5.1,1.3,1.4,2022-01-13
Aron Baynes,20.0,0.4,5.3,4.5,0.8,0.3,0.3,0.8,2.2,4.9,0.5,0.7,2022-01-13
Boban Marjanovic,44.0,0.0,5.8,4.8,0.4,0.1,0.3,0.5,2.3,4.6,1.1,1.4,2022-01-13
Zeke Nnaji,42.0,1.0,5.7,2.8,0.3,0.2,0.4,0.8,2.1,4.6,0.4,0.6,2022-01-13
Yogi Ferrell,30.0,0.7,4.5,1.5,1.8,0.6,0.2,0.2,1.6,4.0,0.6,0.7,2022-01-13
Alfonzo McKinnie,31.0,2.0,6.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,2022-01-13
Hassani Gravett,31.0,2.0,6.0,2.0,3.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,2022-01-13
Precious Achiuwa,70.0,0.1,8.9,7.3,1.7,0.5,0.4,1.2,3.7,7.8,1.5,2.8,2022-01-13
Nick Richards,44.0,0.0,3.4,1.8,0.1,0.1,0.9,0.6,1.5,2.3,0.4,0.5,2022-01-13
David Nwaba,50.0,0.4,5.4,2.4,0.6,0.6,0.4,0.4,2.0,4.4,1.0,1.4,2022-01-13
Moe Harkless,70.0,0.5,4.2,2.4,1.1,0.5,0.5,0.6,1.5,3.5,0.8,1.1,2022-01-13
Freddie Gillespie,18.0,0.0,4.7,2.9,0.2,0.4,0.6,0.4,1.9,3.7,0.9,1.2,2022-01-13
Paul Reed,40.0,0.0,3.7,2.5,0.5,0.4,0.5,0.5,1.7,3.2,0.2,0.3,2022-01-13
Killian Tillie,30.0,0.9,4.1,1.6,0.5,0.4,0.5,0.1,1.3,3.3,0.6,0.7,2022-01-13
James Johnson,30.0,0.3,4.9,2.7,1.2,0.5,0.5,0.7,2.0,4.5,0.6,1.0,2022-01-13
Jalen Smith,45.0,0.5,5.5,3.3,0.2,0.0,0.5,0.7,2.2,4.6,0.6,0.7,2022-01-13
Kelan Martin,44.0,0.8,7.0,1.6,1.0,0.4,0.3,0.7,3.0,7.0,0.2,0.3,2022-01-13
Cody Zeller,68.0,0.1,5.0,3.6,0.9,0.3,0.2,0.5,2.0,3.6,0.9,1.3,2022-01-13
Malcolm Hill,12.0,0.0,2.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2022-01-13
Aaron Wiggins,58.0,1.1,6.7,2.9,1.3,0.4,0.1,1.2,2.5,5.1,0.7,1.2,2022-01-13
KZ Okpala,57.0,0.6,4.5,2.2,0.6,0.4,0.4,0.5,1.7,3.6,0.5,0.7,2022-01-13
Damian Jones,40.0,0.1,4.6,3.6,0.7,0.1,0.4,0.3,1.7,3.0,1.0,1.4,2022-01-13
Kai Jones,30.0,0.1,4.3,2.6,0.1,0.4,0.7,0.8,1.9,3.4,0.5,0.8,2022-01-13
Jordan McLaughlin,64.0,0.4,2.9,2.1,3.0,0.6,0.1,1.0,1.0,2.9,0.4,0.6,2022-01-13
Delon Wright,68.0,0.4,3.4,1.5,1.6,0.6,0.2,0.5,1.2,3.0,0.6,0.7,2022-01-13
Abdel Nader,44.0,0.7,5.1,1.6,0.6,0.3,0.3,0.7,1.8,3.7,0.7,1.0,2022-01-13
Daishen Nix,12.0,0.5,5.3,1.5,2.0,0.5,0.0,1.5,2.4,4.9,0.1,0.2,2022-01-13
Keita Bates-Diop,44.0,0.3,3.3,2.8,0.0,0.5,0.5,0.8,1.5,3.5,0.0,0.0,2022-01-13
Goga Bitadze,54.0,0.3,3.2,2.1,0.5,0.1,0.8,0.3,1.1,2.5,0.6,0.9,2022-01-13
Timothe Luwawu-Cabarrot,62.0,1.1,5.4,1.8,1.0,0.5,0.1,0.6,1.8,5.1,0.5,0.6,2022-01-13
Ziaire Williams,64.0,0.7,6.4,1.9,0.9,0.5,0.2,0.9,2.5,6.2,0.6,0.8,2022-01-13
Dalano Banton,46.0,0.2,4.6,2.2,1.3,0.4,0.2,1.0,1.8,3.7,0.8,1.0,2022-01-13
Shaquille Harrison,31.0,0.0,4.5,4.0,3.0,0.5,0.3,2.0,2.0,6.0,0.5,0.7,2022-01-13
Tre Jones,60.0,0.2,4.3,1.0,1.8,0.3,0.0,0.7,1.6,3.5,0.8,0.8,2022-01-13
Dario Saric,5.0,0.5,5.0,2.2,0.7,0.3,0.1,0.6,1.8,3.9,1.0,1.1,2022-01-13
Jabari Parker,32.0,0.5,4.2,2.4,0.4,0.4,0.2,0.6,1.6,3.2,0.4,0.6,2022-01-13
Semi Ojeleye,58.0,1.1,5.3,2.9,0.8,0.3,0.0,0.4,1.7,4.2,0.9,1.1,2022-01-13
Tyler Cook,31.0,0.0,4.5,1.5,1.5,0.0,0.0,0.8,1.5,3.0,1.5,1.5,2022-01-13
Malachi Flynn,70.0,0.3,5.3,1.7,1.9,0.5,0.1,0.6,2.2,5.2,0.6,0.8,2022-01-13
Brandon Boston Jr,51.0,0.7,6.4,1.9,0.7,0.6,0.2,0.8,2.2,6.1,1.2,1.5,2022-01-13
Tyler Johnson,40.0,1.0,4.4,1.6,1.0,0.3,0.0,0.3,1.6,3.9,0.4,0.4,2022-01-13
Paul Millsap,58.0,0.5,3.9,2.5,0.7,0.4,0.3,0.6,1.5,3.3,0.5,0.7,2022-01-13
Danuel House Jr.,56.0,1.0,5.8,2.4,1.3,0.4,0.3,0.7,2.0,5.0,0.7,1.2,2022-01-13
Frank Ntilikina,30.0,1.0,3.9,1.4,1.4,0.7,0.2,0.8,1.3,3.4,0.3,0.6,2022-01-13
Austin Rivers,68.0,1.0,5.7,1.8,1.0,0.5,0.1,0.8,2.1,5.0,0.5,0.7,2022-01-13
Usman Garuba,50.0,0.2,3.0,2.6,0.4,0.4,0.9,0.8,1.3,3.1,0.3,0.7,2022-01-13
Michael Carter-Williams,22.0,0.3,5.8,3.0,2.7,0.5,0.3,1.4,2.2,5.7,1.1,1.7,2022-01-13
Romeo Langford,20.0,0.5,4.5,2.5,0.9,0.4,0.3,0.8,1.7,4.2,0.7,0.9,2022-01-13
Troy Brown Jr.,54.0,0.7,4.6,2.9,0.8,0.3,0.2,0.6,1.7,3.9,0.6,0.8,2022-01-13
Louis King,32.0,1.2,6.2,1.9,0.0,0.8,0.0,0.0,1.9,6.1,1.2,1.5,2022-01-13
Brad Wanamaker,43.0,0.4,4.2,1.4,2.0,0.2,0.4,1.2,1.3,3.7,1.1,1.3,2022-01-13
Jevon Carter,20.0,0.7,3.0,1.2,0.9,0.5,0.2,0.3,1.0,2.5,0.3,0.3,2022-01-13
Paul Watson,31.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,2022-01-13
Willie Cauley-Stein,51.0,0.0,3.3,3.1,0.5,0.3,0.6,0.4,1.4,2.4,0.6,1.1,2022-01-13
Ed Davis,37.0,0.0,2.1,3.9,0.1,0.3,0.4,0.4,1.0,1.4,0.1,0.3,2022-01-13
Thanasis Antetokounmpo,45.0,0.0,4.0,3.8,1.0,0.6,0.2,1.0,1.7,3.6,0.6,1.0,2022-01-13
Reggie Perry,11.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2022-01-13
Tre Scott,12.0,0.0,3.0,1.0,0.0,0.5,0.5,0.0,1.5,3.0,0.0,0.0,2022-01-13
Davis Bertans,65.0,1.0,4.8,1.3,0.4,0.3,0.1,0.3,1.5,3.8,0.8,0.9,2022-01-13
Quentin Grimes,41.0,1.2,4.5,1.2,0.8,0.2,0.1,0.6,1.5,3.4,0.2,0.3,2022-01-13
Elfrid Payton,40.0,0.2,6.1,2.0,1.9,0.4,0.1,1.0,2.6,5.9,0.7,1.0,2022-01-13
Aaron Nesmith,56.0,0.8,4.1,2.4,0.4,0.3,0.2,0.4,1.5,3.3,0.4,0.5,2022-01-13
Dylan Windler,30.0,0.5,3.2,2.1,0.7,0.4,0.2,0.6,1.1,2.6,0.4,0.6,2022-01-13
Grant Riller,24.0,0.6,4.9,0.2,0.8,0.2,0.0,0.2,2.1,3.2,0.0,0.0,2022-01-13
Jaylen Nowell,40.0,0.7,5.0,1.3,0.8,0.3,0.2,0.4,1.9,4.4,0.6,0.7,2022-01-13
Rayjon Tucker,12.0,0.5,3.0,1.5,0.5,0.5,0.0,0.0,0.5,0.5,1.5,2.0,2022-01-13
Edmond Sumner,38.0,0.4,4.2,1.0,0.5,0.3,0.1,0.6,1.6,3.0,0.7,0.9,2022-01-13
Ayo Dosunmu,40.0,0.4,5.3,2.4,1.4,0.4,0.0,1.0,2.2,4.9,0.7,0.9,2022-01-13
Norvel Pelle,12.0,0.0,3.0,2.5,0.0,0.0,0.5,0.5,1.5,2.5,0.0,0.0,2022-01-13
Moses Brown,40.0,0.0,4.5,2.9,0.1,0.2,0.4,0.3,1.6,2.9,1.3,1.8,2022-01-13
Charles Bassey,33.0,0.3,2.9,1.6,0.3,0.2,0.4,0.6,1.2,2.0,0.2,0.2,2022-01-13
Brandon Goodwin,11.0,0.2,5.5,1.6,2.4,0.3,0.0,0.8,2.4,5.7,0.4,0.6,2022-01-13
Leandro Bolmaro,30.0,0.4,3.8,1.1,1.5,0.4,0.1,1.4,1.4,3.1,0.7,0.8,2022-01-13
Vlatko Cancar,33.0,0.7,3.7,0.3,1.3,0.3,0.0,0.7,1.0,1.7,1.0,1.3,2022-01-13
Austin Reaves,39.0,0.7,4.1,1.5,0.7,0.1,0.1,0.7,1.5,3.2,0.4,0.5,2022-01-13
Theo Maledon,60.0,0.7,4.5,1.5,1.5,0.4,0.1,1.0,1.5,4.0,0.7,0.9,2022-01-13
Markus Howard,42.0,1.5,6.9,0.7,0.5,0.4,0.0,0.5,2.5,6.9,0.3,0.4,2022-01-13
Ty Jerome,51.0,0.8,4.6,0.8,0.9,0.3,0.1,0.4,1.6,3.9,0.8,0.9,2022-01-13
Jonathan Kuminga,68.0,0.4,4.2,1.9,0.6,0.4,0.3,0.8,1.7,4.0,0.4,0.6,2022-01-13
Corey Kispert,44.0,1.0,5.7,1.4,0.5,0.2,0.1,0.9,2.1,5.0,0.5,0.6,2022-01-13
Luka Garza,40.0,0.2,4.9,2.5,0.2,0.2,0.2,0.8,2.0,4.4,0.7,0.9,2022-01-13
Jared Harper,12.0,0.5,3.5,0.5,1.5,0.0,0.5,0.5,1.5,3.5,0.0,0.0,2022-01-13
Chris Chiozza,41.0,0.8,2.8,0.9,2.2,0.4,0.0,0.5,1.0,3.0,0.1,0.1,2022-01-13
Vernon Carey Jr.,32.0,0.0,3.5,1.5,0.0,0.5,0.0,0.5,1.5,3.0,0.5,0.5,2022-01-13
Javonte Smart,37.0,0.6,3.9,2.0,0.9,0.3,0.0,0.6,1.3,3.1,0.7,0.9,2022-01-13
Marko Simonovic,30.0,0.3,3.9,2.2,0.4,0.2,0.2,0.7,1.5,3.2,0.7,0.9,2022-01-13
Alize Johnson,44.0,0.2,2.8,3.4,0.6,0.3,0.1,0.6,1.0,2.1,0.6,0.9,2022-01-13
Anthony Gill,36.0,0.5,2.5,1.5,0.2,0.0,0.3,0.2,1.0,1.5,0.0,0.0,2022-01-13
Jalen Johnson,20.0,0.1,2.8,2.8,0.4,0.3,0.4,0.8,1.1,2.5,0.5,0.7,2022-01-13
Denzel Valentine,64.0,0.7,3.7,1.7,0.9,0.3,0.1,0.4,1.5,3.6,0.1,0.1,2022-01-13
Sam Merrill,41.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2022-01-13
Miye Oni,34.0,0.6,3.2,1.6,0.4,0.4,0.2,0.4,1.1,2.9,0.4,0.5,2022-01-13
Jahlil Okafor,8.0,0.1,4.3,1.9,0.4,0.2,0.2,0.6,1.9,3.0,0.5,0.7,2022-01-13
Rodney Hood,60.0,0.6,4.4,1.9,1.0,0.4,0.1,0.7,1.7,4.7,0.4,0.5,2022-01-13
James Bouknight,58.0,0.7,4.4,1.8,0.2,0.4,0.1,0.9,1.6,3.6,0.5,0.8,2022-01-13
Sekou Doumbouya,10.0,0.4,4.2,1.9,0.6,0.3,0.2,0.6,1.6,3.6,0.6,0.8,2022-01-13
Solomon Hill,40.0,0.6,2.6,1.8,0.6,0.4,0.1,0.4,0.9,2.5,0.3,0.4,2022-01-13
